Pking_Entrez_geneID	GO_IDs
111833391	GO:0005102,GO:0005509
111833392	GO:0003841,GO:0016740,GO:0016746
111833393	
111833395	GO:0005432
111833396	
111833397	
111833398	
111833401	GO:0016740,GO:0047173
111833402	GO:0003674
111833403	GO:0101006
111833405	
111833406	GO:0005201
111833407	GO:0004930,GO:0004970,GO:0004972,GO:0005216,GO:0038023
111833408	GO:0002039,GO:0008168,GO:0008270,GO:0016740,GO:0018024
111833409	GO:0003676,GO:0046872
111833410	GO:0005216,GO:0005244,GO:0005245,GO:0005262
111833412	
111833413	GO:0016787
111833414	
111833416	GO:0000166,GO:0000287,GO:0004012,GO:0005524,GO:0016787
111833417	GO:0003677,GO:0003700,GO:0005515,GO:0044212
111833418	GO:0004888,GO:0004890,GO:0005216,GO:0005230,GO:0005237,GO:0005254,GO:0008503,GO:0022851,GO:1904315
111833419	GO:0004888,GO:0004890,GO:0005216,GO:0005230,GO:0005237,GO:0005254,GO:0008503,GO:0022851,GO:1904315
111833420	GO:0004656,GO:0005506,GO:0016491,GO:0016702,GO:0016705,GO:0031418,GO:0046872,GO:0051213
111833421	GO:0046872
111833422	GO:0004888,GO:0004890,GO:0005216,GO:0005230,GO:0005237,GO:0005254,GO:0008503,GO:0022851,GO:1904315
111833423	GO:0004888,GO:0004890,GO:0005216,GO:0005230
111833424	GO:0000166,GO:0004008,GO:0005507,GO:0016787,GO:0019829,GO:0043682,GO:0046872
111833425	GO:0008017,GO:0019900
111833426	
111833427	GO:0003674
111833428	GO:0008146,GO:0016740
111833429	GO:0003674
111833430	
111833431	
111833432	
111833433	GO:0044877,GO:0097602
111833434	GO:0036459
111833435	GO:0004672,GO:0004674,GO:0005524
111833436	
111833437	GO:0016491,GO:0016616,GO:0016618,GO:0030267,GO:0042803,GO:0051287
111833438	GO:0016301,GO:0016740
111833439	
111833440	GO:0005125,GO:0008009
111833442	
111833443	
111833444	
111833445	GO:0005452,GO:0008509,GO:0008510
111833446	GO:0004518,GO:0004527,GO:0004535,GO:0016787,GO:0046872
111833447	GO:0004930,GO:0008188,GO:0031628
111833448	GO:0120170
111833449	
111833450	GO:0005041,GO:0005509
111833451	GO:0030515
111833452	GO:0003700,GO:0008270,GO:0043565,GO:0046872
111833453	GO:0009055,GO:0046872,GO:0051536,GO:0051537
111833454	GO:0003700,GO:0005509,GO:0017137,GO:0030306,GO:0042803,GO:0046872
111833456	GO:0003735,GO:0005055,GO:0043236
111833457	GO:0001078,GO:0003700
111833458	GO:0003993,GO:0008198,GO:0008199,GO:0016787
111833459	GO:0004930,GO:0038036
111833460	GO:0015035
111833461	
111833462	
111833463	GO:0004930,GO:0004957,GO:0004960
111833466	
111833467	GO:0000981,GO:0003676,GO:0003700,GO:0043565,GO:0046872
111833468	
111833469	GO:0005509,GO:0008147,GO:0046848
111833470	GO:0005509
111833471	GO:0003674,GO:0032217,GO:0038023,GO:1902444
111833473	
111833474	GO:0005254
111833476	GO:0000166,GO:0005524,GO:0016787,GO:0016887,GO:0046872
111833478	
111833479	GO:0008270,GO:0046872
111833480	GO:0003677,GO:0005524
111833481	GO:0038023
111833482	GO:0000166,GO:0003774,GO:0003779,GO:0005524,GO:0051015
111833483	GO:0000166,GO:0003774,GO:0003779,GO:0005524,GO:0051015
111833484	GO:0008270,GO:0008745,GO:0016019,GO:0042834
111833485	GO:0003676,GO:0046872
111833486	GO:0003677,GO:0003723,GO:0003725,GO:0003727
111833487	GO:0005525
111833488	GO:0004392,GO:0020037,GO:0046872
111833489	GO:0003676,GO:0003723,GO:0003729
111833490	GO:0004888,GO:0005216,GO:0005230,GO:0005254,GO:0016594,GO:0016934
111833491	GO:0000981,GO:0003677,GO:0003700,GO:0043565
111833492	
111833493	GO:0003674
111833494	GO:0000993,GO:0001097,GO:0043565
111833495	GO:0003674
111833496	GO:0035091
111833498	
111833500	
111833501	
111833502	GO:0003674
111833503	GO:0008195,GO:0016791,GO:0042577
111833505	GO:0004721,GO:0004725,GO:0016787,GO:0016791
111833506	GO:0000993,GO:0008168,GO:0016279,GO:0016740,GO:0018024,GO:0046872,GO:0046975
111833507	GO:0005096,GO:0046872,GO:1902936
111833508	
111833509	GO:0003676,GO:0030337
111833510	GO:0000981,GO:0003677,GO:0003700
111833511	GO:0003674
111833512	GO:0003684,GO:0031593,GO:0043130,GO:0070628
111833515	GO:0003676,GO:0003723,GO:0004518,GO:0004519,GO:0004523,GO:0016787
111833516	GO:0000978,GO:0000981,GO:0003677,GO:0003700,GO:0003713,GO:0008134
111833517	GO:0008379,GO:0016209,GO:0016491,GO:0051920
111833518	
111833519	GO:0003674
111833520	GO:0000166,GO:0003924,GO:0005525,GO:0032947
111833522	
111833523	GO:0003674
111833524	
111833525	
111833526	GO:0000166,GO:0004672,GO:0004674,GO:0005524,GO:0016301,GO:0016740,GO:0017049
111833527	GO:0004888,GO:0005216,GO:0005230,GO:0022848
111833528	
111833529	
111833530	GO:0008408,GO:0008409
111833531	GO:0046872
111833532	GO:0046935
111833533	GO:0003677,GO:0003700,GO:0043565
111833534	
111833536	GO:0001078,GO:0003677
111833537	GO:0000166,GO:0003924,GO:0005509,GO:0005525,GO:0016787,GO:0046872
111833538	GO:0000166,GO:0000287,GO:0004672,GO:0004674,GO:0005524,GO:0016301,GO:0016740
111833539	GO:0004888
111833540	GO:0003924,GO:0005525
111833541	GO:0003676,GO:0005524
111833542	GO:0005178,GO:0005520,GO:0008201
111833544	GO:0003677
111833545	GO:0004833,GO:0016491,GO:0020037,GO:0046872,GO:0051213
111833546	GO:0005096,GO:0017137
111833547	GO:0003676,GO:0003677,GO:0003700,GO:0046872
111833549	GO:0004672,GO:0004674,GO:0004708,GO:0005524,GO:0008545,GO:0016301,GO:0016740
111833550	GO:0003676,GO:0008017
111833551	
111833552	GO:0003779,GO:0005516
111833553	GO:0004518,GO:0004519,GO:0016787,GO:0035755,GO:0042803,GO:0046872
111833554	GO:0000993,GO:0046872
111833556	GO:0001078,GO:0003700
111833557	GO:0008134
111833558	GO:0003676,GO:0003723
111833559	GO:0031490,GO:0042054,GO:0046872
111833560	GO:0005085,GO:0008321
111833562	GO:0005179,GO:0005184
111833563	
111833566	
111833567	GO:0000149,GO:0005484
111833568	GO:0000166,GO:0003774,GO:0003779,GO:0005524,GO:0051015
111833569	GO:0015187
111833570	
111833571	GO:0005515
111833572	GO:0008134,GO:0042803,GO:0070840
111833573	
111833574	GO:0008233,GO:0016787,GO:0036459
111833575	GO:0003674
111833576	GO:0004114,GO:0030553
111833577	GO:0008270,GO:0046872
111833578	GO:0000166,GO:0003951,GO:0004143,GO:0005524,GO:0016301,GO:0016740
111833579	GO:0005261,GO:0072345
111833581	GO:0005524,GO:0016817,GO:0016887,GO:0042393
111833582	GO:0000014,GO:0003684,GO:0003697,GO:0004519
111833583	GO:0004197,GO:0008234
111833584	GO:0005096,GO:0017137
111833586	
111833587	GO:0005225
111833588	GO:0004930,GO:0004983,GO:0042923
111833589	GO:0003677
111833591	
111833593	
111833595	GO:0004252,GO:0005509,GO:0008233,GO:0016787
111833596	
111833597	GO:0003729,GO:0003735,GO:0019843
111833598	GO:0004930,GO:0008528
