Pking_Entrez_geneID	GO_IDs
111833218	GO:0005634,GO:0005694,GO:0035097
111833219	GO:0005634,GO:0005737,GO:0016592
111833220	GO:0005882,GO:0005883
111833221	GO:0005882,GO:0005883
111833222	
111833223	GO:0000139,GO:0005783,GO:0005789,GO:0005794,GO:0016020,GO:0016021
111833225	
111833226	GO:0005575
111833227	GO:0005871,GO:0005874
111833228	GO:0016020,GO:0016021
111833230	GO:0016020,GO:0016021
111833231	GO:0005576,GO:0005615
111833232	
111833234	GO:0002116,GO:0005887,GO:0016020,GO:0016021
111833235	GO:0000922,GO:0005634,GO:0005768,GO:0005815,GO:0010008
111833236	GO:0016020,GO:0016021
111833237	
111833238	
111833240	GO:0005634
111833241	GO:0005576,GO:0005615
111833243	GO:0005887,GO:0016020,GO:0016021
111833245	GO:0005634,GO:0005737,GO:0005856
111833246	
111833247	GO:0005575
111833252	
111833253	GO:0016020,GO:0016021
111833254	
111833255	GO:0008282,GO:0016020,GO:0016021,GO:0042383
111833256	
111833257	GO:0016020,GO:0016021
111833258	GO:0005634,GO:0005737
111833259	
111833260	
111833261	
111833262	
111833263	
111833264	GO:0005634,GO:0005737
111833265	GO:0005634
111833267	
111833269	GO:0005634,GO:0090575
111833270	
111833271	GO:0005634,GO:0005737
111833272	GO:0005634,GO:0005737
111833273	GO:0005737,GO:0005925,GO:0015629,GO:0030018
111833274	GO:0005575,GO:0005737,GO:0005925,GO:0015629
111833275	
111833276	GO:0005576,GO:0005615,GO:0005887
111833277	GO:0005615,GO:0005887
111833279	GO:0005576
111833280	GO:0016020,GO:0045202,GO:0048786
111833281	GO:0005634,GO:0005737,GO:0016442
111833282	GO:0016020,GO:0016021
111833283	GO:0005634
111833284	
111833285	GO:0005634
111833286	
111833288	GO:0005737
111833289	
111833291	
111833292	GO:0016020,GO:0016021
111833294	GO:0005634
111833295	GO:0005886,GO:0016020,GO:0016021
111833296	GO:0005886,GO:0016020,GO:0016021,GO:0030054,GO:0032281,GO:0045202,GO:0045211
111833297	
111833298	GO:0016020,GO:0016021
111833299	GO:0005622,GO:0005737,GO:0005884,GO:0030016
111833300	GO:0005634,GO:0005737
111833301	GO:0000127
111833302	GO:0005634,GO:0005737,GO:0016020,GO:0016021
111833304	GO:0005887,GO:0016020,GO:0016021
111833305	GO:0005575,GO:0005730,GO:1990904
111833306	
111833307	GO:0005737,GO:0005739,GO:0005829
111833308	GO:0005634,GO:0005737,GO:0005829,GO:0031464,GO:0032991
111833309	GO:0005622
111833311	GO:0016020,GO:0016021
111833312	
111833313	GO:0005576,GO:0005783,GO:0005789,GO:0005794,GO:0016020,GO:0016529,GO:0033018,GO:0042470
111833314	
111833315	GO:0005887,GO:0016020,GO:0016021
111833318	GO:0005615
111833319	
111833320	GO:0005764,GO:0005765,GO:0016020,GO:0140007
111833321	GO:0005575
111833322	GO:0005887,GO:0016020,GO:0016021
111833323	
111833324	
111833331	
111833335	
111833336	
111833337	
111833338	GO:0016020,GO:0016021
111833339	GO:0000139,GO:0005794,GO:0016020,GO:0016021
111833341	
111833343	GO:0008076,GO:0016020,GO:0016021
111833344	
111833346	GO:0005737
111833350	GO:0005886,GO:0005887,GO:0016020,GO:0016021
111833351	GO:0005829,GO:0016020
111833352	GO:0005912,GO:0016324,GO:0030864,GO:0043296
111833353	GO:0005576,GO:0005615
111833355	GO:0005634,GO:0008023,GO:0032783
111833356	GO:0005783,GO:0005793,GO:0005886,GO:0005887,GO:0005902,GO:0005929,GO:0009986,GO:0016020,GO:0016021,GO:0016324,GO:0031528,GO:0042995,GO:0071914
111833357	GO:0005634,GO:0005829
111833358	GO:0005737
111833359	GO:0005750
111833360	GO:0005576,GO:0005615,GO:0005634,GO:0005737,GO:0005829,GO:0005938
111833361	
111833362	GO:0005575
111833364	
111833365	GO:0016020,GO:0016021
111833366	GO:0005940,GO:0015630,GO:0031105,GO:0032160
111833367	GO:0000307,GO:0005634,GO:0005737
111833368	GO:0005634,GO:0005737
111833369	
111833370	GO:0000307,GO:0005634,GO:0005737
111833371	GO:0005737
111833372	GO:0005783,GO:0005789,GO:0005886,GO:0016020,GO:0016021
111833373	GO:0005783,GO:0005789,GO:0005794,GO:0016020,GO:0016021
111833374	GO:0005794,GO:0005938,GO:0016020,GO:0016021,GO:0048471
111833375	GO:0005891,GO:0009925,GO:0016020,GO:0016021,GO:0097470
111833376	GO:0000932
111833377	GO:0005634,GO:0005694,GO:0031011
111833378	GO:0005783,GO:0005789,GO:0005794,GO:0005886,GO:0016020,GO:0016021
111833379	
111833380	
111833381	
111833382	
111833383	
111833384	
111833385	GO:0016020,GO:0016021
111833386	
111833387	GO:0005581,GO:0005615,GO:0031012
111833389	GO:0005575
111833390	GO:0016020,GO:0016021
111833391	GO:0005576,GO:0009986
111833392	GO:0005783,GO:0016020,GO:0016021
111833393	
111833395	GO:0016020,GO:0016021
111833396	
111833397	GO:0016020,GO:0016021
111833398	GO:0016020,GO:0016021
111833401	GO:0016020,GO:0016021
111833402	GO:0005634,GO:0032021
111833403	GO:0005829
111833405	
111833406	
111833407	GO:0005886,GO:0016020,GO:0016021,GO:0017146,GO:0030054,GO:0045202,GO:0045211
111833408	GO:0005634,GO:0005694
111833409	GO:0005634,GO:0035097
111833410	GO:0005891,GO:0016020,GO:0016021
111833412	GO:0016020,GO:0016021,GO:0033596
111833413	GO:0016020,GO:0016021
111833414	
111833416	GO:0005886,GO:0016020,GO:0016021
111833417	GO:0005634,GO:0016020,GO:0016021
111833418	GO:0005886,GO:0005887,GO:0016020,GO:0016021,GO:0032590,GO:0043005,GO:0045202,GO:0098794,GO:1902711
111833419	GO:0005886,GO:0005887,GO:0016020,GO:0016021,GO:0032590,GO:0043005,GO:0045202,GO:0098794,GO:1902711
111833420	GO:0005783
111833421	
111833422	GO:0005886,GO:0005887,GO:0016020,GO:0016021,GO:0032590,GO:0043005,GO:0045202,GO:0098794,GO:1902711
111833423	GO:0005886,GO:0005887,GO:0016020,GO:0016021,GO:0043005,GO:0045202,GO:1902711
111833424	GO:0005802,GO:0016020,GO:0016021,GO:0048471
111833425	GO:0016020,GO:0016021
111833426	
111833427	GO:0005768,GO:0005802
111833428	GO:0016020,GO:0016021
111833429	GO:0017119
111833430	GO:0016020,GO:0016021
111833431	
111833432	
111833433	GO:0031463
111833434	
111833435	
111833436	GO:0005575,GO:0005737
111833437	GO:0005829
111833438	GO:0005575
111833439	
111833440	GO:0005576,GO:0005615
111833442	GO:0016020,GO:0016021
111833443	
111833444	
111833445	GO:0005887,GO:0016020,GO:0016021
111833446	GO:0005634,GO:0005737,GO:0030014
111833447	GO:0016020,GO:0016021
111833448	GO:0005929,GO:0030992,GO:0031514,GO:0036064,GO:0042995,GO:0097546
111833449	GO:0005856
111833450	GO:0016020,GO:0016021
111833451	GO:0032040,GO:0034388
111833452	
111833453	GO:0005739,GO:0005759
111833454	GO:0005768,GO:0005813,GO:0016020,GO:0030139,GO:0030496,GO:0031410,GO:0032154,GO:0055038
